lon,lat,route
139.782075,35.686245,1
139.1284555,36.4236952,2
139.136429,36.4590603,3
139.0942386,36.4693828,4
139.035164,36.4413405,5
139.0163627,36.5151403,6
138.9528062,36.5481138,7
138.7931396,36.4245108,8
138.6842731,36.5475134,9
138.73569,36.57048,10
138.8297562,36.6089289,11
138.9083498,36.69608,12
138.96767,36.7645152,13
138.9812566,36.6976003,14
138.9542567,36.6224975,15
139.0689353,36.612775,16
139.1200313,36.6616976,17
139.1073011,36.6870421,18
139.225238,36.773231,19
139.3728487,36.5525594,20
139.2719912,36.491184,21
