lon,lat,route
139.782075,35.686245,1
139.1355565,35.9769074,2
139.1096496,36.0769587,3
139.0403486,36.1430927,4
139.0401091,36.0490086,5
139.0893968,35.9974408,6
139.0126336,35.9544145,7
138.9381995,35.9503803,8
138.9709644,36.0047724,9
138.8978301,36.1092423,10
138.784106,36.080532,11
138.7417079,36.1782734,12
138.8020175,36.2240358,13
138.765967,36.2996438,14
138.9166528,36.2337493,15
139.0716443,36.2721362,16
139.0945846,36.30833423,17
139.2412797,36.2185243,18
139.2964207,36.2646406,19
139.3693257,36.2145575,20
139.2890291,36.1515097,21
139.227294,36.1218906,22
139.203506,36.052482,23
139.2811686,36.0523844,24
